county_name,Male16 - 19 years In labor force,Male16 - 19 years In labor force Unemployed,Male16 - 19 years In labor force employed,Male20 - 21 years In labor force,Male20 - 21 years In labor force Unemployed,Male20 - 21 years In labor force employed,Male22 - 24 years In labor force,Male22 - 24 years In labor force Unemployed,Male22 - 24 years In labor force employed,Male25 - 29 years In labor force,Male25 - 29 years In labor force Unemployed,Male25 - 29 years In labor force employed,Male30 - 34 years In labor force,Male30 - 34 years In labor force Unemployed,Male30 - 34 years In labor force employed,Male35 - 44 years In labor force,Male35 - 44 years In labor force Unemployed,Male35 - 44 years In labor force employed,Male45 - 54 years In labor force,Male45 - 54 years In labor force Unemployed,Male45 - 54 years In labor force employed,Male55 - 59 years In labor force,Male55 - 59 years In labor force Unemployed,Male55 - 59 years In labor force employed,Male60 - 61 years In labor force,Male60 - 61 years In labor force Unemployed,Male60 - 61 years In labor force employed,Male62 - 64 years In labor force,Male62 - 64 years In labor force Unemployed,Male62 - 64 years In labor force employed,Male65 - 69 years In labor force,Male65 - 69 years In labor force Unemployed,Male65 - 69 years In labor force employed,Male70 - 74 years In labor force,Male70 - 74 years In labor force Unemployed,Male70 - 74 years In labor force employed,Male75 years - over In labor force,Male75 years - over In labor force Unemployed,Male75 years - over In labor force employed,Female16 - 19 years In labor force,Female16 - 19 years In labor force Unemployed,Female16 - 19 years In labor force employed,Female20 - 21 years In labor force,Female20 - 21 years In labor force Unemployed,Female20 - 21 years In labor force employed,Female22 - 24 years In labor force,Female22 - 24 years In labor force Unemployed,Female22 - 24 years In labor force employed,Female25 - 29 years In labor force,Female25 - 29 years In labor force Unemployed,Female25 - 29 years In labor force employed,Female30 - 34 years In labor force,Female30 - 34 years In labor force Unemployed,Female30 - 34 years In labor force employed,Female35 - 44 years In labor force,Female35 - 44 years In labor force Unemployed,Female35 - 44 years In labor force employed,Female45 - 54 years In labor force,Female45 - 54 years In labor force Unemployed,Female45 - 54 years In labor force employed,Female55 - 59 years In labor force,Female55 - 59 years In labor force Unemployed,Female55 - 59 years In labor force employed,Female60 - 61 years In labor force,Female60 - 61 years In labor force Unemployed,Female60 - 61 years In labor force employed,Female62 - 64 years In labor force,Female62 - 64 years In labor force Unemployed,Female62 - 64 years In labor force employed,Female65 - 69 years In labor force,Female65 - 69 years In labor force Unemployed,Female65 - 69 years In labor force employed,Female70 - 74 years In labor force,Female70 - 74 years In labor force Unemployed,Female70 - 74 years In labor force employed,Female75 years - over In labor force,Female75 years - over In labor force Unemployed,Female75 years - over In labor force employed
Connecticut - Fairfield,10735.00,3089.00,7646.00,7763.00,1500.00,6263.00,14820.00,2393.00,12427.00,24249.00,2192.00,22057.00,25688.00,1987.00,23701.00,56256.00,3134.00,53122.00,65669.00,3988.00,61681.00,28261.00,1967.00,26294.00,9461.00,636.00,8825.00,10249.00,523.00,9726.00,10092.00,521.00,9571.00,4264.00,392.00,3872.00,3201.00,258.00,2943.00,10720.00,2312.00,8408.00,7537.00,970.00,6567.00,13861.00,1406.00,12455.00,21359.00,2104.00,19255.00,22836.00,1934.00,20902.00,46409.00,3283.00,43126.00,58579.00,4051.00,54528.00,25864.00,1477.00,24387.00,9015.00,575.00,8440.00,9170.00,468.00,8702.00,8893.00,486.00,8407.00,3358.00,173.00,3185.00,2428.00,102.00,2326.00
Connecticut - Hartford,10076.00,2882.00,7194.00,7500.00,1504.00,5996.00,15025.00,2420.00,12605.00,25979.00,2692.00,23287.00,25693.00,1978.00,23715.00,48053.00,3345.00,44708.00,55532.00,3832.00,51700.00,25711.00,1289.00,24422.00,8018.00,496.00,7522.00,9822.00,760.00,9062.00,8854.00,549.00,8305.00,3592.00,200.00,3392.00,2684.00,179.00,2505.00,10307.00,2706.00,7601.00,7497.00,1136.00,6361.00,13940.00,1010.00,12930.00,24578.00,1645.00,22933.00,23763.00,1598.00,22165.00,46554.00,3554.00,43000.00,55008.00,3237.00,51771.00,25128.00,1322.00,23806.00,8132.00,294.00,7838.00,8940.00,408.00,8532.00,7833.00,432.00,7401.00,2855.00,174.00,2681.00,1657.00,91.00,1566.00
Connecticut - Litchfield,2150.00,402.00,1748.00,1462.00,205.00,1257.00,2819.00,473.00,2346.00,4186.00,488.00,3698.00,4281.00,301.00,3980.00,9738.00,502.00,9236.00,13952.00,637.00,13315.00,6969.00,340.00,6629.00,2440.00,136.00,2304.00,2541.00,184.00,2357.00,2382.00,110.00,2272.00,1140.00,130.00,1010.00,610.00,3.00,607.00,2208.00,392.00,1816.00,1317.00,144.00,1173.00,2640.00,252.00,2388.00,3791.00,240.00,3551.00,3808.00,266.00,3542.00,8960.00,567.00,8393.00,13009.00,607.00,12402.00,6783.00,338.00,6445.00,2234.00,102.00,2132.00,2379.00,76.00,2303.00,2255.00,135.00,2120.00,895.00,17.00,878.00,562.00,8.00,554.00
Connecticut - Middlesex,1718.00,210.00,1508.00,1338.00,101.00,1237.00,2554.00,217.00,2337.00,4140.00,150.00,3990.00,3966.00,231.00,3735.00,9098.00,343.00,8755.00,12157.00,490.00,11667.00,6117.00,315.00,5802.00,2006.00,52.00,1954.00,2313.00,126.00,2187.00,2024.00,132.00,1892.00,730.00,32.00,698.00,517.00,12.00,505.00,2229.00,288.00,1941.00,1534.00,78.00,1456.00,1978.00,108.00,1870.00,3569.00,218.00,3351.00,3907.00,360.00,3547.00,8419.00,473.00,7946.00,11376.00,488.00,10888.00,5590.00,250.00,5340.00,1653.00,79.00,1574.00,1731.00,34.00,1697.00,1733.00,87.00,1646.00,712.00,36.00,676.00,452.00,0.00,452.00
Connecticut - New Haven,8438.00,2183.00,6255.00,8098.00,1414.00,6684.00,13937.00,2124.00,11813.00,24138.00,2668.00,21470.00,23642.00,2354.00,21288.00,45112.00,3480.00,41632.00,52888.00,3764.00,49124.00,24014.00,1731.00,22283.00,8281.00,550.00,7731.00,9638.00,538.00,9100.00,8350.00,359.00,7991.00,3456.00,239.00,3217.00,2577.00,60.00,2517.00,10064.00,2158.00,7906.00,9056.00,1184.00,7872.00,13510.00,1354.00,12156.00,23677.00,1706.00,21971.00,22347.00,2103.00,20244.00,43430.00,3181.00,40249.00,52231.00,3430.00,48801.00,23575.00,1180.00,22395.00,7972.00,367.00,7605.00,9571.00,526.00,9045.00,8448.00,508.00,7940.00,3167.00,143.00,3024.00,1893.00,87.00,1806.00
Connecticut - New London,3780.00,553.00,3227.00,4183.00,615.00,3568.00,6009.00,477.00,5532.00,8999.00,555.00,8444.00,7355.00,604.00,6751.00,13945.00,861.00,13084.00,17688.00,1089.00,16599.00,8475.00,578.00,7897.00,2815.00,129.00,2686.00,3294.00,195.00,3099.00,3168.00,128.00,3040.00,1350.00,25.00,1325.00,681.00,24.00,657.00,3363.00,486.00,2877.00,2753.00,379.00,2374.00,4084.00,409.00,3675.00,6865.00,887.00,5978.00,6229.00,520.00,5709.00,13003.00,666.00,12337.00,17203.00,1009.00,16194.00,7678.00,486.00,7192.00,2535.00,193.00,2342.00,2867.00,179.00,2688.00,2607.00,88.00,2519.00,946.00,30.00,916.00,632.00,56.00,576.00
Connecticut - Tolland,2860.00,555.00,2305.00,3769.00,281.00,3488.00,3076.00,263.00,2813.00,3502.00,255.00,3247.00,3576.00,234.00,3342.00,7404.00,250.00,7154.00,9846.00,463.00,9383.00,4743.00,277.00,4466.00,1748.00,71.00,1677.00,1513.00,46.00,1467.00,1438.00,72.00,1366.00,592.00,13.00,579.00,450.00,45.00,405.00,3733.00,560.00,3173.00,3997.00,283.00,3714.00,2761.00,188.00,2573.00,2881.00,159.00,2722.00,2886.00,133.00,2753.00,6795.00,286.00,6509.00,9551.00,449.00,9102.00,4032.00,236.00,3796.00,1658.00,92.00,1566.00,1549.00,71.00,1478.00,1104.00,73.00,1031.00,359.00,26.00,333.00,174.00,0.00,174.00
Connecticut - Windham,1657.00,370.00,1287.00,1673.00,249.00,1424.00,1879.00,257.00,1622.00,3156.00,373.00,2783.00,3230.00,242.00,2988.00,6464.00,672.00,5792.00,7656.00,529.00,7127.00,3789.00,225.00,3564.00,1081.00,57.00,1024.00,1113.00,33.00,1080.00,1038.00,61.00,977.00,362.00,20.00,342.00,273.00,36.00,237.00,1684.00,353.00,1331.00,1645.00,122.00,1523.00,1647.00,108.00,1539.00,2943.00,287.00,2656.00,3054.00,272.00,2782.00,6220.00,446.00,5774.00,7295.00,365.00,6930.00,3261.00,111.00,3150.00,1310.00,80.00,1230.00,928.00,88.00,840.00,750.00,17.00,733.00,270.00,20.00,250.00,128.00,0.00,128.00
Maine - Androscoggin,1237.00,348.00,889.00,1068.00,94.00,974.00,1742.00,164.00,1578.00,2794.00,154.00,2640.00,2849.00,192.00,2657.00,5615.00,302.00,5313.00,6748.00,351.00,6397.00,3368.00,168.00,3200.00,945.00,12.00,933.00,990.00,38.00,952.00,1020.00,82.00,938.00,486.00,37.00,449.00,345.00,25.00,320.00,1374.00,192.00,1182.00,1004.00,84.00,920.00,1537.00,91.00,1446.00,2682.00,216.00,2466.00,2819.00,168.00,2651.00,5700.00,219.00,5481.00,6510.00,210.00,6300.00,2911.00,19.00,2892.00,1031.00,67.00,964.00,1072.00,16.00,1056.00,841.00,35.00,806.00,192.00,26.00,166.00,104.00,0.00,104.00
Maine - Aroostook,802.00,110.00,692.00,739.00,84.00,655.00,861.00,33.00,828.00,1447.00,156.00,1291.00,1384.00,96.00,1288.00,3030.00,233.00,2797.00,4204.00,309.00,3895.00,2187.00,128.00,2059.00,676.00,18.00,658.00,749.00,21.00,728.00,757.00,31.00,726.00,269.00,15.00,254.00,172.00,12.00,160.00,847.00,147.00,700.00,661.00,30.00,631.00,732.00,50.00,682.00,1137.00,75.00,1062.00,1265.00,81.00,1184.00,3015.00,84.00,2931.00,3576.00,124.00,3452.00,1982.00,106.00,1876.00,648.00,35.00,613.00,658.00,18.00,640.00,539.00,15.00,524.00,227.00,21.00,206.00,149.00,2.00,147.00
